"storeCode";"login";"password";"code"
"EFGH17";"Storekeeper6";"password128";"SUPDA110"
"EFGH17";"Storekeeper6";"password128";"SUPDA111"
"EFGH17";"Storekeeper6";"password128";"SUPDA112"
"EFGH17";"Storekeeper6";"password128";"SUPDA113"
"EFGH17";"Storekeeper6";"password128";"SUPDA114"
"EFGH17";"Storekeeper6";"password128";"SUPDA115"
"EFGH17";"Storekeeper6";"password128";"SUPDA116"
"EFGH17";"Storekeeper6";"password128";"SUPDA117"
"EFGH17";"Storekeeper6";"password128";"SUPDA118"
"EFGH17";"Storekeeper6";"password128";"SUPDA119"
"EFGH17";"Storekeeper6";"password128";"SUPDA120"
"IJKL18";"Storekeeper7";"password129";"SUPDA121"
"IJKL18";"Storekeeper7";"password129";"SUPDA122"
"IJKL18";"Storekeeper7";"password129";"SUPDA123"
"IJKL18";"Storekeeper7";"password129";"SUPDA124"
"IJKL18";"Storekeeper7";"password129";"SUPDA125"
"IJKL18";"Storekeeper7";"password129";"SUPDA126"
"IJKL18";"Storekeeper7";"password129";"SUPDA127"
"IJKL18";"Storekeeper7";"password129";"SUPDA128"
"IJKL18";"Storekeeper7";"password129";"SUPDA129"
"IJKL18";"Storekeeper7";"password129";"SUPDA130"
"IJKL18";"Storekeeper7";"password129";"SUPDA131"
"IJKL18";"Storekeeper7";"password129";"SUPDA132"
"IJKL18";"Storekeeper7";"password129";"SUPDA133"
"IJKL18";"Storekeeper7";"password129";"SUPDA134"
"IJKL18";"Storekeeper7";"password129";"SUPDA135"
"IJKL18";"Storekeeper7";"password129";"SUPDA136"
"IJKL18";"Storekeeper7";"password129";"SUPDA137"
"IJKL18";"Storekeeper7";"password129";"SUPDA138"
"IJKL18";"Storekeeper7";"password129";"SUPDA139"
"IJKL18";"Storekeeper7";"password129";"SUPDA140"
"MNOP19";"Storekeeper8";"password130";"SUPDA141"
"MNOP19";"Storekeeper8";"password130";"SUPDA142"
"MNOP19";"Storekeeper8";"password130";"SUPDA143"
"MNOP19";"Storekeeper8";"password130";"SUPDA144"
"MNOP19";"Storekeeper8";"password130";"SUPDA145"
"MNOP19";"Storekeeper8";"password130";"SUPDA146"
"MNOP19";"Storekeeper8";"password130";"SUPDA147"
"MNOP19";"Storekeeper8";"password130";"SUPDA148"
"MNOP19";"Storekeeper8";"password130";"SUPDA149"
"MNOP19";"Storekeeper8";"password130";"SUPDA150"
"MNOP19";"Storekeeper8";"password130";"SUPDA151"
"MNOP19";"Storekeeper8";"password130";"SUPDA152"
"MNOP19";"Storekeeper8";"password130";"SUPDA153"
"MNOP19";"Storekeeper8";"password130";"SUPDA154"
"MNOP19";"Storekeeper8";"password130";"SUPDA155"
"MNOP19";"Storekeeper8";"password130";"SUPDA156"
"MNOP19";"Storekeeper8";"password130";"SUPDA157"
"MNOP19";"Storekeeper8";"password130";"SUPDA158"
"MNOP19";"Storekeeper8";"password130";"SUPDA159"
"MNOP19";"Storekeeper8";"password130";"SUPDA160"
"ABCD20";"Storekeeper9";"password131";"SUPDA161"
"ABCD20";"Storekeeper9";"password131";"SUPDA162"
"ABCD20";"Storekeeper9";"password131";"SUPDA163"
"ABCD20";"Storekeeper9";"password131";"SUPDA164"
"ABCD20";"Storekeeper9";"password131";"SUPDA165"
"ABCD20";"Storekeeper9";"password131";"SUPDA166"
"ABCD20";"Storekeeper9";"password131";"SUPDA167"
"ABCD20";"Storekeeper9";"password131";"SUPDA168"
"ABCD20";"Storekeeper9";"password131";"SUPDA169"
"ABCD20";"Storekeeper9";"password131";"SUPDA170"
"ABCD20";"Storekeeper9";"password131";"SUPDA171"
"ABCD20";"Storekeeper9";"password131";"SUPDA172"
"ABCD20";"Storekeeper9";"password131";"SUPDA173"
"ABCD20";"Storekeeper9";"password131";"SUPDA174"
"ABCD20";"Storekeeper9";"password131";"SUPDA175"
"ABCD20";"Storekeeper9";"password131";"SUPDA176"
"ABCD20";"Storekeeper9";"password131";"SUPDA177"
"ABCD20";"Storekeeper9";"password131";"SUPDA178"
"ABCD20";"Storekeeper9";"password131";"SUPDA179"
"ABCD20";"Storekeeper9";"password131";"SUPDA180"
"EFGH21";"Storekeeper10";"password132";"SUPDA181"
"EFGH21";"Storekeeper10";"password132";"SUPDA182"
"EFGH21";"Storekeeper10";"password132";"SUPDA183"
"EFGH21";"Storekeeper10";"password132";"SUPDA184"
"EFGH21";"Storekeeper10";"password132";"SUPDA185"
"EFGH21";"Storekeeper10";"password132";"SUPDA186"
"EFGH21";"Storekeeper10";"password132";"SUPDA187"
"EFGH21";"Storekeeper10";"password132";"SUPDA188"
"EFGH21";"Storekeeper10";"password132";"SUPDA189"
"EFGH21";"Storekeeper10";"password132";"SUPDA190"
"EFGH21";"Storekeeper10";"password132";"SUPDA191"
"EFGH21";"Storekeeper10";"password132";"SUPDA192"
"EFGH21";"Storekeeper10";"password132";"SUPDA193"
"EFGH21";"Storekeeper10";"password132";"SUPDA194"
"EFGH21";"Storekeeper10";"password132";"SUPDA195"
"EFGH21";"Storekeeper10";"password132";"SUPDA196"
"EFGH21";"Storekeeper10";"password132";"SUPDA197"
"EFGH21";"Storekeeper10";"password132";"SUPDA198"
"EFGH21";"Storekeeper10";"password132";"SUPDA199"
"EFGH21";"Storekeeper10";"password132";"SUPDA200"
"IJKL22";"Storekeeper11";"password133";"SUPDA201"
"IJKL22";"Storekeeper11";"password133";"SUPDA202"
"IJKL22";"Storekeeper11";"password133";"SUPDA203"
"IJKL22";"Storekeeper11";"password133";"SUPDA204"
"IJKL22";"Storekeeper11";"password133";"SUPDA205"
"IJKL22";"Storekeeper11";"password133";"SUPDA206"
"IJKL22";"Storekeeper11";"password133";"SUPDA207"
"IJKL22";"Storekeeper11";"password133";"SUPDA208"
"IJKL22";"Storekeeper11";"password133";"SUPDA209"
"IJKL22";"Storekeeper11";"password133";"SUPDA210"
"IJKL22";"Storekeeper11";"password133";"SUPDA211"
"IJKL22";"Storekeeper11";"password133";"SUPDA212"
"IJKL22";"Storekeeper11";"password133";"SUPDA213"
"IJKL22";"Storekeeper11";"password133";"SUPDA214"
"IJKL22";"Storekeeper11";"password133";"SUPDA215"
"IJKL22";"Storekeeper11";"password133";"SUPDA216"
"IJKL22";"Storekeeper11";"password133";"SUPDA217"
"IJKL22";"Storekeeper11";"password133";"SUPDA218"
"IJKL22";"Storekeeper11";"password133";"SUPDA219"
"IJKL22";"Storekeeper11";"password133";"SUPDA220"
"MNOP23";"Storekeeper12";"password134";"SUPDA221"
"MNOP23";"Storekeeper12";"password134";"SUPDA222"
"MNOP23";"Storekeeper12";"password134";"SUPDA223"
"MNOP23";"Storekeeper12";"password134";"SUPDA224"
"MNOP23";"Storekeeper12";"password134";"SUPDA225"
"MNOP23";"Storekeeper12";"password134";"SUPDA226"
"MNOP23";"Storekeeper12";"password134";"SUPDA227"
"MNOP23";"Storekeeper12";"password134";"SUPDA228"
"MNOP23";"Storekeeper12";"password134";"SUPDA229"
"MNOP23";"Storekeeper12";"password134";"SUPDA230"
"MNOP23";"Storekeeper12";"password134";"SUPDA231"
"MNOP23";"Storekeeper12";"password134";"SUPDA232"
"MNOP23";"Storekeeper12";"password134";"SUPDA233"
"MNOP23";"Storekeeper12";"password134";"SUPDA234"
"MNOP23";"Storekeeper12";"password134";"SUPDA235"
"MNOP23";"Storekeeper12";"password134";"SUPDA236"
"MNOP23";"Storekeeper12";"password134";"SUPDA237"
"MNOP23";"Storekeeper12";"password134";"SUPDA238"
"MNOP23";"Storekeeper12";"password134";"SUPDA239"
"MNOP23";"Storekeeper12";"password134";"SUPDA240"
"ABCD24";"Storekeeper13";"password135";"SUPDA241"
"ABCD24";"Storekeeper13";"password135";"SUPDA242"
"ABCD24";"Storekeeper13";"password135";"SUPDA243"
"ABCD24";"Storekeeper13";"password135";"SUPDA244"
"ABCD24";"Storekeeper13";"password135";"SUPDA245"
"ABCD24";"Storekeeper13";"password135";"SUPDA246"
"ABCD24";"Storekeeper13";"password135";"SUPDA247"
"ABCD24";"Storekeeper13";"password135";"SUPDA248"
"ABCD24";"Storekeeper13";"password135";"SUPDA249"
"ABCD24";"Storekeeper13";"password135";"SUPDA250"
"ABCD24";"Storekeeper13";"password135";"SUPDA251"
"ABCD24";"Storekeeper13";"password135";"SUPDA252"
"ABCD24";"Storekeeper13";"password135";"SUPDA253"
"ABCD24";"Storekeeper13";"password135";"SUPDA254"
"ABCD24";"Storekeeper13";"password135";"SUPDA255"
"ABCD24";"Storekeeper13";"password135";"SUPDA256"
"ABCD24";"Storekeeper13";"password135";"SUPDA257"
"ABCD24";"Storekeeper13";"password135";"SUPDA258"
"ABCD24";"Storekeeper13";"password135";"SUPDA259"
"ABCD24";"Storekeeper13";"password135";"SUPDA260"
"EFGH25";"Storekeeper14";"password136";"SUPDA261"
"EFGH25";"Storekeeper14";"password136";"SUPDA262"
"EFGH25";"Storekeeper14";"password136";"SUPDA263"
"EFGH25";"Storekeeper14";"password136";"SUPDA264"
"EFGH25";"Storekeeper14";"password136";"SUPDA265"
"EFGH25";"Storekeeper14";"password136";"SUPDA266"
"EFGH25";"Storekeeper14";"password136";"SUPDA267"
"EFGH25";"Storekeeper14";"password136";"SUPDA268"
"EFGH25";"Storekeeper14";"password136";"SUPDA269"
"EFGH25";"Storekeeper14";"password136";"SUPDA270"
"EFGH25";"Storekeeper14";"password136";"SUPDA271"
"EFGH25";"Storekeeper14";"password136";"SUPDA272"
"EFGH25";"Storekeeper14";"password136";"SUPDA273"
"EFGH25";"Storekeeper14";"password136";"SUPDA274"
"EFGH25";"Storekeeper14";"password136";"SUPDA275"
"EFGH25";"Storekeeper14";"password136";"SUPDA276"
"EFGH25";"Storekeeper14";"password136";"SUPDA277"
"EFGH25";"Storekeeper14";"password136";"SUPDA278"
"EFGH25";"Storekeeper14";"password136";"SUPDA279"
"EFGH25";"Storekeeper14";"password136";"SUPDA280"
"IJKL26";"Storekeeper15";"password137";"SUPDA281"
"IJKL26";"Storekeeper15";"password137";"SUPDA282"
"IJKL26";"Storekeeper15";"password137";"SUPDA283"
"IJKL26";"Storekeeper15";"password137";"SUPDA284"
"IJKL26";"Storekeeper15";"password137";"SUPDA285"
"IJKL26";"Storekeeper15";"password137";"SUPDA286"
"IJKL26";"Storekeeper15";"password137";"SUPDA287"
"IJKL26";"Storekeeper15";"password137";"SUPDA288"
"IJKL26";"Storekeeper15";"password137";"SUPDA289"
"IJKL26";"Storekeeper15";"password137";"SUPDA290"
"IJKL26";"Storekeeper15";"password137";"SUPDA291"
"IJKL26";"Storekeeper15";"password137";"SUPDA292"
"IJKL26";"Storekeeper15";"password137";"SUPDA293"
"IJKL26";"Storekeeper15";"password137";"SUPDA294"
"IJKL26";"Storekeeper15";"password137";"SUPDA295"
"IJKL26";"Storekeeper15";"password137";"SUPDA296"
"IJKL26";"Storekeeper15";"password137";"SUPDA297"
"IJKL26";"Storekeeper15";"password137";"SUPDA298"
"IJKL26";"Storekeeper15";"password137";"SUPDA299"
"IJKL26";"Storekeeper15";"password137";"SUPDA300"
"MNOP27";"Storekeeper16";"password138";"SUPDA301"
"MNOP27";"Storekeeper16";"password138";"SUPDA302"
"MNOP27";"Storekeeper16";"password138";"SUPDA303"
"MNOP27";"Storekeeper16";"password138";"SUPDA304"
"MNOP27";"Storekeeper16";"password138";"SUPDA305"
"MNOP27";"Storekeeper16";"password138";"SUPDA306"
"MNOP27";"Storekeeper16";"password138";"SUPDA307"
"MNOP27";"Storekeeper16";"password138";"SUPDA308"
"MNOP27";"Storekeeper16";"password138";"SUPDA309"
"MNOP27";"Storekeeper16";"password138";"SUPDA310"
"MNOP27";"Storekeeper16";"password138";"SUPDA311"
"MNOP27";"Storekeeper16";"password138";"SUPDA312"
"MNOP27";"Storekeeper16";"password138";"SUPDA313"
"MNOP27";"Storekeeper16";"password138";"SUPDA314"
"MNOP27";"Storekeeper16";"password138";"SUPDA315"
"MNOP27";"Storekeeper16";"password138";"SUPDA316"
"MNOP27";"Storekeeper16";"password138";"SUPDA317"
"MNOP27";"Storekeeper16";"password138";"SUPDA318"
"MNOP27";"Storekeeper16";"password138";"SUPDA319"
"MNOP27";"Storekeeper16";"password138";"SUPDA320"
"ABCD28";"Storekeeper17";"password139";"SUPDA321"
"ABCD28";"Storekeeper17";"password139";"SUPDA322"
"ABCD28";"Storekeeper17";"password139";"SUPDA323"
"ABCD28";"Storekeeper17";"password139";"SUPDA324"
"ABCD28";"Storekeeper17";"password139";"SUPDA325"
"ABCD28";"Storekeeper17";"password139";"SUPDA326"
"ABCD28";"Storekeeper17";"password139";"SUPDA327"
"ABCD28";"Storekeeper17";"password139";"SUPDA328"
"ABCD28";"Storekeeper17";"password139";"SUPDA329"
"ABCD28";"Storekeeper17";"password139";"SUPDA330"
"ABCD28";"Storekeeper17";"password139";"SUPDA331"
"ABCD28";"Storekeeper17";"password139";"SUPDA332"
"ABCD28";"Storekeeper17";"password139";"SUPDA333"
"ABCD28";"Storekeeper17";"password139";"SUPDA334"
"ABCD28";"Storekeeper17";"password139";"SUPDA335"
"ABCD28";"Storekeeper17";"password139";"SUPDA336"
"ABCD28";"Storekeeper17";"password139";"SUPDA337"
"ABCD28";"Storekeeper17";"password139";"SUPDA338"
"ABCD28";"Storekeeper17";"password139";"SUPDA339"
"ABCD28";"Storekeeper17";"password139";"SUPDA340"
"EFGH29";"Storekeeper18";"password140";"SUPDA341"
"EFGH29";"Storekeeper18";"password140";"SUPDA342"
"EFGH29";"Storekeeper18";"password140";"SUPDA343"
"EFGH29";"Storekeeper18";"password140";"SUPDA344"
"EFGH29";"Storekeeper18";"password140";"SUPDA345"
"EFGH29";"Storekeeper18";"password140";"SUPDA346"
"EFGH29";"Storekeeper18";"password140";"SUPDA347"
"EFGH29";"Storekeeper18";"password140";"SUPDA348"
"EFGH29";"Storekeeper18";"password140";"SUPDA349"
"EFGH29";"Storekeeper18";"password140";"SUPDA350"
"EFGH29";"Storekeeper18";"password140";"SUPDA351"
"EFGH29";"Storekeeper18";"password140";"SUPDA352"
"EFGH29";"Storekeeper18";"password140";"SUPDA353"
"EFGH29";"Storekeeper18";"password140";"SUPDA354"
"EFGH29";"Storekeeper18";"password140";"SUPDA355"
"EFGH29";"Storekeeper18";"password140";"SUPDA356"
"EFGH29";"Storekeeper18";"password140";"SUPDA357"
"EFGH29";"Storekeeper18";"password140";"SUPDA358"
"EFGH29";"Storekeeper18";"password140";"SUPDA359"
"EFGH29";"Storekeeper18";"password140";"SUPDA360"
"IJKL30";"Storekeeper19";"password141";"SUPDA361"
"IJKL30";"Storekeeper19";"password141";"SUPDA362"
"IJKL30";"Storekeeper19";"password141";"SUPDA363"
"IJKL30";"Storekeeper19";"password141";"SUPDA364"
"IJKL30";"Storekeeper19";"password141";"SUPDA365"
"IJKL30";"Storekeeper19";"password141";"SUPDA366"
"IJKL30";"Storekeeper19";"password141";"SUPDA367"
"IJKL30";"Storekeeper19";"password141";"SUPDA368"
"IJKL30";"Storekeeper19";"password141";"SUPDA369"
"IJKL30";"Storekeeper19";"password141";"SUPDA370"
"IJKL30";"Storekeeper19";"password141";"SUPDA371"
"IJKL30";"Storekeeper19";"password141";"SUPDA372"
"IJKL30";"Storekeeper19";"password141";"SUPDA373"
"IJKL30";"Storekeeper19";"password141";"SUPDA374"
"IJKL30";"Storekeeper19";"password141";"SUPDA375"
"IJKL30";"Storekeeper19";"password141";"SUPDA376"
"IJKL30";"Storekeeper19";"password141";"SUPDA377"
"IJKL30";"Storekeeper19";"password141";"SUPDA378"
"IJKL30";"Storekeeper19";"password141";"SUPDA379"
"IJKL30";"Storekeeper19";"password141";"SUPDA380"
"MNOP31";"Storekeeper20";"password142";"SUPDA381"
"MNOP31";"Storekeeper20";"password142";"SUPDA382"
"MNOP31";"Storekeeper20";"password142";"SUPDA383"
"MNOP31";"Storekeeper20";"password142";"SUPDA384"
"MNOP31";"Storekeeper20";"password142";"SUPDA385"
"MNOP31";"Storekeeper20";"password142";"SUPDA386"
"MNOP31";"Storekeeper20";"password142";"SUPDA387"
"MNOP31";"Storekeeper20";"password142";"SUPDA388"
"MNOP31";"Storekeeper20";"password142";"SUPDA389"
"MNOP31";"Storekeeper20";"password142";"SUPDA390"
"MNOP31";"Storekeeper20";"password142";"SUPDA391"
"MNOP31";"Storekeeper20";"password142";"SUPDA392"
"MNOP31";"Storekeeper20";"password142";"SUPDA393"
"MNOP31";"Storekeeper20";"password142";"SUPDA394"
"MNOP31";"Storekeeper20";"password142";"SUPDA395"
"MNOP31";"Storekeeper20";"password142";"SUPDA396"
"MNOP31";"Storekeeper20";"password142";"SUPDA397"
"MNOP31";"Storekeeper20";"password142";"SUPDA398"
"MNOP31";"Storekeeper20";"password142";"SUPDA399"
"MNOP31";"Storekeeper20";"password142";"SUPDA400"
